match_api_id,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,League_1.0,League_1729.0
440,665729.0,17.0,-8.0,8.0,3.0,1.0,1.0,1,0
441,665730.0,0.0,-8.0,3.0,2.0,0.0,0.0,1,0
444,665733.0,-4.0,2.0,2.0,4.0,0.0,0.0,1,0
446,665737.0,-2.0,2.0,1.0,5.0,0.0,0.0,1,0
448,665739.0,0.0,3.0,4.0,4.0,0.0,1.0,1,0
450,665741.0,-7.0,-1.0,3.0,3.0,0.0,1.0,1,0
454,665745.0,17.0,1.0,8.0,3.0,1.0,0.0,1,0
456,665749.0,9.0,-4.0,5.0,3.0,0.0,0.0,1,0
458,665753.0,1.0,-12.0,3.0,2.0,0.0,0.0,1,0
459,665757.0,-8.0,4.0,2.0,5.0,0.0,2.0,1,0
460,665334.0,9.0,0.0,6.0,1.0,0.0,0.0,1,0
461,665335.0,-3.0,6.0,1.0,5.0,0.0,0.0,1,0
463,665337.0,-6.0,-3.0,1.0,0.0,0.0,0.0,1,0
465,665340.0,0.0,1.0,2.0,2.0,0.0,0.0,1,0
468,665763.0,1.0,3.0,3.0,4.0,0.0,0.0,1,0
469,665767.0,5.0,-2.0,5.0,1.0,0.0,0.0,1,0
471,665771.0,-6.0,11.0,3.0,5.0,0.0,1.0,1,0
473,665775.0,-14.0,1.0,2.0,4.0,0.0,0.0,1,0
474,665342.0,0.0,-2.0,2.0,0.0,0.0,0.0,1,0
477,665345.0,-3.0,12.0,0.0,7.0,0.0,1.0,1,0
478,665346.0,6.0,-2.0,5.0,0.0,0.0,0.0,1,0
480,665349.0,0.0,1.0,0.0,3.0,0.0,0.0,1,0
481,665352.0,14.0,3.0,8.0,2.0,0.0,0.0,1,0
482,665353.0,-3.0,-2.0,1.0,0.0,0.0,0.0,1,0
483,665354.0,-6.0,0.0,1.0,2.0,0.0,1.0,1,0
484,665357.0,-2.0,9.0,0.0,6.0,0.0,0.0,1,0
487,665360.0,-3.0,-5.0,1.0,0.0,0.0,0.0,1,0
488,665361.0,1.0,-3.0,3.0,1.0,0.0,0.0,1,0
489,665362.0,3.0,3.0,2.0,4.0,0.0,0.0,1,0
491,665364.0,-4.0,-1.0,1.0,1.0,0.0,0.0,1,0
493,665366.0,8.0,-3.0,6.0,2.0,1.0,0.0,1,0
494,665368.0,-2.0,-5.0,0.0,0.0,0.0,0.0,1,0
495,665370.0,14.0,12.0,8.0,7.0,0.0,0.0,1,0
497,665374.0,-7.0,-1.0,1.0,1.0,0.0,0.0,1,0
498,665376.0,-6.0,6.0,0.0,3.0,0.0,0.0,1,0
501,665380.0,-4.0,1.0,1.0,3.0,0.0,0.0,1,0
502,665384.0,4.0,-6.0,4.0,1.0,0.0,0.0,1,0
